filerange 50500 50702
rangestart 50500 50702

// Subtitles
// 50500	Collect one load of resources and deliver them back to the carrier.
50500	資源を収集しキャリアー(Carrier)に届ける
// 50580	Notice that "Enhanced Scout Sensors" technology is available for research. This improves Scout sensors. Click OK to Continue. #+
50580	「Enhanced Scout Sensors」が 研究(RESERCH)可能になったことに注意してください。 これはスカウト(Scout)のセンサー能力を向上させます。 [OK]をクリックして続けます。#+
// 50581	Click on "Enhanced Scout Sensors" to research Enhanced Scout Sensors.
50581	「Enhanced Scout Sensors」をクリックして、 研究(RESERCH)を開始してください。
// 50590	Each Research Item will unlock new build options or enhance your ships.
50590	個々の研究(RESERCH)項目は、新しい建造オプションをアンロックしたり、船の能力を向上させるものです。
// 50591	Deciding what to research or upgrade is critical for victory.
50591	何を研究するか、またはアップグレードするかを決めるのは、勝利するために重要なことです。 [OK]をクリックして続けます。#+
// 50596	Scout Sensor research complete.
50596	スカウトセンサーの研究(RESERCH)が完了しました。
// 50600	Stand by to begin combat lessons.
50600	戦闘訓練の開始に備えてください。
// 50601	A Squadron of Bombers has been constructed, and an unarmed Torpedo Frigate has been provided. Click OK to Continue.#+
50601	ボマー(Bomber)の編隊が建造されており、また、非武装のトーピードフリゲート(TorpedoFrigate)が用意されています。 [OK]をクリックして続けます。#+
// 50610	To attack a target, select the Bomber Squadron and RIGHT-CLICK on the Torpedo Frigate.
50610	目標を攻撃するために、ボマー(Bomber)隊を選択し、トーピードフリゲート(TorpedoFrigate)を右クリックします。
// 50619	Order the Bombers to attack the Torpedo Frigate now.
50619	ボマー(Bomber)隊に、トーピードフリゲート(TorpedoFrigate)への攻撃を指示してください。
// 50612	This is the basic method used for issuing an attack.
50612	This is the basic method used for issuing an attack.
// 50613	To attack multiple enemies, hold down CTRL and use the LEFT-MOUSE BUTTON to DRAG-SELECT a group of targets.
50613	複数の敵を攻撃するには、[CTRL]キーを押しながら、目標のグループを左クリックでドラッグ選択します。
// 50614	Attack the 3 Frigates now.
50614	三つのフリゲート(Frigate)艦を攻撃してください。
// 50630	Congratulations.
50630	おめでとう！
// 50631	You now understand all the basics required to play Homeworld. #+
50631	これで、Homeworldをプレイするために必要なすべての基本が理解できました。#+
// 50640	Good work.
50640	Good work.

rangeend
