filerange 51000 52071
rangestart 51000 52071

// Subtitles
// 51000	Select the Fighters
51000	ファイターを選択する
51026	前のステップで選択した船をストライクグループ(Strikegroups)に割り当てます。ストライクグループフォーメーション用ホットキーは標準で[F5]-[F7]です。また、タスクバー上にあるストライクグループ用アイコンを使用してもよいです。
// 51005	Enemy Frigate
51005	敵フリゲート艦
// 51006	Bring a ship here
51006	Bring a ship here
// 51020	ADVANCED COMMANDS
51020	＜高度な命令＞
// 51028	This tutorial covers Control Groups, Special Actions and Advanced Commands.
51028	このチュートリアルでは、グループ操作、スペシャルアクションと高度な命令を学びます。
// 51031	Control Groups allow you to select a group of ships and assign them to one of the 10 number keys. Click OK to Continue.#+
51031	グループ操作では、選択した船のグループに、1から10の数字キーのいずれかを割り当てることができます。 [OK]をクリックして続けます。#+
// 51032	First, select the 3 squadrons of Interceptors.
51032	最初に、三つのインターセプター(Interceptor)隊を選択します。
// 51040	Now press the CTRL key and the NUMBER ONE at the same time to assign the Interceptors to Group 1.
51040	[CTRL]キーと[1]を同時に押して、グループ1にインターセプター(Interceptor)隊を割り当ててください。
// 51050	You have now assigned that group to the number 1.
51050	これで、ナンバー1にグループが割り当てられました。
// 51051	From now on, pressing the NUMBER 1 key, or clicking on the ONE icon on the task bar, will select Group One. Click OK to Continue.#+
51051	数字の[1]キーを押すか、タスクバー上の[1]アイコンをクリックすると、グループ1を選択することができます。 [OK]をクリックして続けます。#+
// 51052	Pressing the NUMBER 1 twice will also focus the Camera on the Interceptors.
51052	数字の[1]キーを２度押すと、インターセプター(Interceptor)隊にカメラをフォーカスできます。
// 51055	Up to 10 Groups can be assigned, each corresponding to one of the Number Keys.#+
51055	最大10グループまで、それぞれの数字キーに割り当てることができます。#+
// 51054	Now assign the newly arrived Bombers to Group 2.
51054	グループ2に、新たに到着したボマー(Bomber)隊を割り当ててください。
// 51060	Excellent.  Now order Group 2 to attack the Enemy Frigate that has just hyperspaced in.
51060	エクセレント！ たった今ハイパースペース(Hyperspace)してきた敵のフリゲート艦に攻撃するよう、グループ2に命令してください。
// 51070	Well done.
51070	よくできましたね。
// 51090	The next lesson covers Special Actions.
51090	次のレッスンでは、スペシャルアクションを学びます。
// 51091	Special actions vary from ship to ship.
51091	スペシャルアクションは、船によって違います。
// 51092	The Carrier that has just arrived has a Cloaking Generator.
51092	ちょうど今到着したキャリアー(Carrier)は、クロークジェネレーター(CloakGenerator)を持っています。
// 51100	To use Special Actions, first select the Carrier.
51100	スペシャルアクションを使用するために、最初にキャリアー(Carrier)を選択します。
// 51101	Now click on the Special Actions Tab in the Taskbar.
51101	タスクバーのスペシャルアクションタブをクリックします。
// 51102	This tab displays all Special Actions. Currently only the CLOAK ABILITY ICON is active.
51102	このタブには、全てのスペシャルアクションが表示されます。現時点では、隠蔽(CLOAK)アビリティアイコンが有効になっています。
// 51103	Press the CLOAK ICON to activate the carrier's Cloak Generator.
51103	キャリアー(Carrier)のクロークジェネレーター(CloakGenerator)を作動させるために、隠蔽(CLOAK)アイコンを押してください。
// 51110	Special Actions are also activated via the SHIFT MENU.
51110	スペシャルアクションは、[SHIFT]メニューからも利用できます。
// 51111	To access the SHIFT MENU, HOLD DOWN SHIFT, and RIGHT-CLICK on a ship or empty space.
51111	[SHIFT]メニューにアクセスするには、[SHIFT]キーを押しながら、船または何もない領域を右クリックします。
// 51112	Using either the Special Actions commands icons menu on the taskbar, or the SHIFT MENU, order the Carrier to de-cloak.
51112	タスクバーのアイコンメニューか、または[SHIFT]メニューからスペシャルアクションを実行して、キャリアー(Carrier)に隠蔽解除を命じてください。
// 51120	Unlike Cloak, some Special Actions require a target.
51120	隠蔽(CLOAK)とは違い、いくつかのスペシャルアクションはターゲットを必要とします。
// 51121	This Marine Frigate is one such example.
51121	このマリンフリゲート(MarineFrigate)はその一例です。
// 51122	Marine Frigates are used to capture enemy ships.
51122	マリンフリゲート(MarineFrigate)は、敵艦を捕獲(Capture)するために使用します。
// 51162	To capture an enemy ship, select the Marine Frigate and RIGHT-CLICK on the enemy Frigate.
51162	敵艦を捕獲(Capture)するには、マリンフリゲートを選択し、敵のフリゲート艦を右クリックします。
// 51163	You can also use the CAPTURE ICON or the Shift Menu.
51163	また、[CAPTURE]アイコン、または[SHIFT]メニューを使用することもできます。
// 51130	Well done.
51130	うまくいきました。
// 51132	You have now successfully completed the final Tutorial for Homeworld.
51132	これで、Homeworldの最終チュートリアルが無事終了しました。
// 51140	When you are done, press F10 to return to the menu. #+
51140	When you are done, press F10 to return to the menu. #+
// 52000	Tactics will be covered next.
52000	次は、戦術(Tactics)を学びます。
// 52001	Idle ships will default to their Tactics setting. Tactics govern how ships react to the enemy targets. Click OK to Continue. #+
52001	待機状態の船は、戦術(Tactics)の設定に従います。戦術(Tactics)によって船が敵のターゲットにどのように反応するかが決まります。 [OK]をクリックして続けます。#+
// 52003	Units set on Aggressive will retaliate against all enemy targets.
52003	「積極型(Aggressive)」に設定されているユニットは、全ての敵のターゲットに対して報復します。
// 52004	Ships on Defensive will defend friendly ships, but will not pursue enemy targets. This is the default tactic.
52004	「守備型(Defensive)」の船は、味方の船を守ります。しかし、敵のターゲットを追撃しません。これは規定の戦術(Tactics)です。
// 52005	Passive Tactics order units to stand down. They will not engage the enemy under any circumstances.
52005	「受動型(Passive)」戦術指示のユニットは休戦します。どのような状況であっても敵に反応しません。
// 52006	Tactics will also change the formations ships use. Click OK to continue. #+
52006	戦術(Tactics)は、船のフォーメーション(Formation)も変更します。 [OK]をクリックして続けます。#+
// 52007	To change Tactics for selected ships, click on the desired Tactic on the taskbar.
52007	選択した船の戦術(Tactics)を変更するには、タスクバー上の目的の戦術(Tactics)をクリックしてください。
// 52008	You can also use the Tactics Hotkeys. #+
52008	また、タクティクスホットキーを使用することもできます。#+
// 52009	Ships on Sentry will hold their position while firing on incoming enemies.
52009	Ships on Sentry will hold their position while firing on incoming enemies.
// 52010	Strikegroups are tactical formations of ships designed to support each other in battle. Click OK to Continue.  #+
52010	ストライクグループ(Strikegroups)は、戦闘でお互いをサポートするように設計された船の戦術フォーメーションです。 [OK]をクリックして続けます。#+
// 52011	Drag select all of these ships.
52011	これらの船全てをドラッグ選択してください。
// 52013	Now, select a Strikegroup formation from the STRIKEGROUP Roll Out on the task bar.
52013	タスクバーのストライクグループ(Strikegroups)用アイコンから、ストライクグループフォーメーションを選択してください。
// 52012	Well done.  Strikegroups are more efficient than the collection of their parts.
52012	よくできました。 ストライクグループ(Strikegroups)は、バラバラの集まりより効率的です。
// 52014	However, you will notice that a Strikegroup will only travel as quickly as its slowest unit.
52014	ただし、ストライクグループ(Strikegroups)は、一番遅いユニットの速度に合わせて移動することに注意してください。
// 52015	Therefore a Strikegroup is a tradeoff between speed and efficiency. #+
52015	したがってストライクグループ(Strikegroups)は、スピードと効率の間のトレードオフがあります。#+
// 52019	You can set Tactics for an entire Strikegroup, or for elements individually. Click OK to Continue. #+
52019	You can set Tactics for an entire Strikegroup, or for elements individually. Click OK to Continue. #+
// 52016	You now have full understanding of all the commands available in Homeworld.
52016	You now have full understanding of all the commands available in Homeworld.
// 52017	If you wish to practice these skills, you will be confronted by ever increasing Vaygr strike forces. #+
52017	これまでのスキルを練習したいのであれば、どんどん増援されるヴェイガー(Vaygr)攻撃部隊に立ち向かってください。#+
// 52018	If you wish to play the full game, press esc to return to the menu.
52018	If you wish to play the full game, press esc to return to the menu.
// 51053	Good Job.
51053	Good Job.
// 52030	Waypoints allow you to move your ships along specified paths. This can be used to move around asteroid fields or to set up sneak attacks. Click OK to Continue.#+
52030	中間点(Waypoint)は、指定された経路に沿って船を移動することができます。これは、アステロイド地帯を迂回したり、スニークアタック(SneakAttacks)を仕掛けるために利用できます。 [OK]をクリックして続けます。#+
// 52031	Click on the WAYPOINT ICON (hotkey: W) to enter Waypoint mode.
52031	中間点(Waypoint)モードを開始するには、中間点(Waypoint)アイコン(ホットキー:[W])をクリックしてください。
// 52032	While in this mode, you can queue a series of move commands. Your ships will move to each destination point in sequence. Practice this now.
52032	このモード中は、一連の移動指示をキューに入れることができます。あなたの船は、それぞれの目的地を順番に経由します。早速試してください。
// 52033	To end the waypoint, simply click on the Waypoint icon, the hotkey (W) or press ESC.#+
52033	中間点(Waypoint)を終了するには、中間点(Waypoint)アイコンをクリックするか、ホットキー([W])または[ESC]キーを押します。#+
// 52034	Waypoints can also be used to issue common commands such as Attack or Harvest.
52034	中間点(Waypoint)はまた、攻撃(ATTACK)や収集(HARVEST)などの一般的な命令の実行時にも利用できます。
// 52035	However, once a command is issued, the waypoint path ends at that point.
52035	ただし、命令が実行されると、中間点(Waypoint)の経路はそこで終了になります。
// 52050	The Move hotkey is M
52050	The Move hotkey is M
// 52051	The Guard hotkey is G
52051	The Guard hotkey is G
// 52052	The Attack hotkey is CONTROL
52052	The Attack hotkey is CONTROL
// 52053	The Dock hotkey is D
52053	The Dock hotkey is D
// 52054	The Rally Point hotkey is P
52054	The Rally Point hotkey is P
// 52055	The Harvest hotkey is H
52055	The Harvest hotkey is H
// 52056	The Hyperspace Jump hotkey is J
52056	The Hyperspace Jump hotkey is J
// 52057	The Repair hotkey is Y
52057	The Repair hotkey is Y
// 52058	The Waypoint hotkey is W
52058	The Waypoint hotkey is W
// 52059	The Stop hotkey is S
52059	The Stop hotkey is S
// 52060	The Special Action hotkey is Z
52060	The Special Action hotkey is Z
// 52061	The Cloak hotkey is C
52061	The Cloak hotkey is C
// 52062	The Defense Field hotkey is T
52062	The Defense Field hotkey is T
// 52063	The EMP hotkey is E
52063	The EMP hotkey is E
// 52064	The Deploy Mines hotkey is N
52064	The Deploy Mines hotkey is N
// 52065	The Sensor Ping hotkey is X
52065	The Sensor Ping hotkey is X
// 52066	The Build hotkey is B
52066	The Build hotkey is B
// 52067	The Research hotkey is R
52067	The Research hotkey is R
// 52068	The Sensors Manager hotkey is SPACE
52068	The Sensors Manager hotkey is SPACE
// 52069	The Events hotkey is V
52069	The Events hotkey is V
// 52070	The Objectives hotkeys is O
52070	The Objectives hotkeys is O
// 52071	The Diplomacy hotkey is K
52071	The Diplomacy hotkey is K

rangeend
